location,actor,lines
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,"Look, going good against remotes is one thing. Going good against the living? That's something else."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,HAN,Looks like we're coming up on Alderaan.
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,LUKE,"You know, I did feel something. I could almost see the remote."
INT. MILLENNIUM FALCON - CENTRAL HOLD AREA,BEN,That's good. You have taken your first step into a larger world.
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,Yes.
INT. DEATH STAR - CONFERENCE ROOM,OFFICER CASS,"Our scout ships have reached Dantooine. They found the remains of a Rebel base, but they estimate that it has been deserted for some time. They are now conducting an extensive search of the surrounding systems."
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,She lied! She lied to us!
INT. DEATH STAR - CONFERENCE ROOM,VADER,I told you she would never consciously betray the Rebellion.
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,Terminate her... immediately!
INT. MILLENNIUM FALCON - COCKPIT,HAN,"Stand by, Chewie, here we go. Cut in the sublight engines."
INT. MILLENNIUM FALCON - COCKPIT,HAN,"What the...? Aw, we've come out of hyperspace into a meteor shower. Some kind of asteroid collision. It's not on any of the charts."
INT. MILLENNIUM FALCON - COCKPIT,LUKE,What's going on?
INT. MILLENNIUM FALCON - COCKPIT,HAN,"Our position is correct, except... no, Alderaan!"
INT. MILLENNIUM FALCON - COCKPIT,LUKE,What do you mean? Where is it?
INT. MILLENNIUM FALCON - COCKPIT,HAN,"Thats what I'm trying to tell you, kid. It ain't there. It's been totally blown away."
INT. MILLENNIUM FALCON - COCKPIT,LUKE,What? How?
INT. MILLENNIUM FALCON - COCKPIT,BEN,Destroyed... by the Empire!
INT. MILLENNIUM FALCON - COCKPIT,HAN,The entire starfleet couldn't destroy the whole planet. It'd take a thousand ships with more fire power than I've...
INT. MILLENNIUM FALCON - COCKPIT,HAN,There's another ship coming in.
INT. MILLENNIUM FALCON - COCKPIT,LUKE,Maybe they know what happened.
INT. MILLENNIUM FALCON - COCKPIT,BEN,It's an Imperial fighter.
INT. MILLENNIUM FALCON - COCKPIT,LUKE,It followed us!
INT. MILLENNIUM FALCON - COCKPIT,BEN,No. It's a short range fighter.
INT. MILLENNIUM FALCON - COCKPIT,HAN,There aren't any bases around here. Where did it come from?
INT. MILLENNIUM FALCON - COCKPIT,LUKE,"It sure is leaving in a big hurry. If they identify us, we're in big trouble."
INT. MILLENNIUM FALCON - COCKPIT,HAN,Not if I can help it. Chewie...jam it's transmissions.
INT. MILLENNIUM FALCON - COCKPIT,BEN,It'd be as well to let it go. It's too far out of range.
INT. MILLENNIUM FALCON - COCKPIT,HAN,Not for long...
INT. MILLENNIUM FALCON - COCKPIT,BEN,A fighter that size couldn't get this deep into space on its own.
INT. MILLENNIUM FALCON - COCKPIT,LUKE,"It must have gotten lost, been part of a convoy or something."
INT. MILLENNIUM FALCON - COCKPIT,HAN,"Well, he ain't going to be around long enough to tell anyone about us."
INT. MILLENNIUM FALCON - COCKPIT,LUKE,Look at him. He's headed for that small moon.
INT. MILLENNIUM FALCON - COCKPIT,HAN,I think I can get him before he gets there... he's almost in range.
INT. MILLENNIUM FALCON - COCKPIT,BEN,That's no moon! It's a space station.
INT. MILLENNIUM FALCON - COCKPIT,HAN,It's too big to be a space station.
INT. MILLENNIUM FALCON - COCKPIT,LUKE,I have a very bad feeling about this.
INT. MILLENNIUM FALCON - COCKPIT,HAN,"Yeah, I think your right. Full reverse! Chewie, lock in the auxiliary power."
INT. MILLENNIUM FALCON - COCKPIT,LUKE,Why are we still moving towards it?
INT. MILLENNIUM FALCON - COCKPIT,HAN,We're caught in a tractor beam! It's pulling us in!
INT. MILLENNIUM FALCON - COCKPIT,LUKE,But there's gotta be something you can do!
INT. MILLENNIUM FALCON - COCKPIT,HAN,"There's nothin' I can do about it, kid. I'm in full power. I'm going to have to shut down. But they're not going to get me without a fight!"
INT. MILLENNIUM FALCON - COCKPIT,BEN,You can't win. But there are alternatives to fighting.
EXT. DEATH STAR - HUGE PORT DOORS,VOICE OVER DEATH STAR INTERCOM,
INT. DEATH STAR - DOCKING BAY 2037,OFFICER,To you stations!(to another officer)Come with me.
INT. DEATH STAR - HANGAR 2037,OFFICER,Close all outboard shields! Close all outboard shields!
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,Yes.
INT. DEATH STAR - CONFERENCE ROOM,VOICE,(over intercom)We've captured a freighter entering the remains of the Alderaan system. It's markings match those of a ship that blasted its way out of Mos Eisley.
INT. DEATH STAR - CONFERENCE ROOM,VADER,They must be trying to return the stolen plans to the princess. She may yet be of some use to us.
INT. DEATH STAR - DOCKING BAY 2037,VOICE,(over intercom)Unlock one-five-seven and nine. Release charges.
INT. DEATH STAR - DOCKING BAY 2037,OFFICER,"(to Vader)There's no one on board, sir. According to the log, the crew abandoned ship right after takeoff. It must be a decoy, sir. Several of the escape pods have been jettisoned."
INT. DEATH STAR - DOCKING BAY 2037,VADER,Did you find any droids?
INT. DEATH STAR - DOCKING BAY 2037,OFFICER,"No, sir. If there were any on board, they must also have jettisoned."
INT. DEATH STAR - DOCKING BAY 2037,VADER,Send a scanning crew on board. I want every part of this ship checked.
INT. DEATH STAR - DOCKING BAY 2037,OFFICER,"Yes, sir."
INT. DEATH STAR - DOCKING BAY 2037,VADER,I sense something... a presence I haven't felt since...
INT. DEATH STAR - DOCKING BAY 2037,OFFICER,Get me a scanning crew in here on the double. I want every part of this ship checked!
INT. MILLENNIUM FALCON - HALLWAY,LUKE,"Boy, it's lucky you had these compartments."
INT. MILLENNIUM FALCON - HALLWAY,HAN,"I use them for smuggling. I never thought I'd be smuggling myself in them. This is ridiculous. Even if I could take off, I'd never get past the tractor beam."
INT. MILLENNIUM FALCON - HALLWAY,BEN,Leave that to me!
INT. MILLENNIUM FALCON - HALLWAY,HAN,Damn fool. I knew that you were going to say that!
INT. MILLENNIUM FALCON - HALLWAY,BEN,Who's the more foolish... the fool or the fool who follows him?
INT. DEATH STAR - MAIN FORWARD BAY,TROOPER,"The ship's all yours. If the scanners pick up anything, report it immediately. All right, let's go."
INT. DEATH STAR - MAIN FORWARD BAY,HAN'S VOICE,"Hey down there, could you give us a hand with this?"
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,GANTRY OFFICER,"TX-four-one-two. Why aren't you at your post? TX-four-one-two, do you copy?"
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,GANTRY OFFICER,Take over. We've got a bad transmitter. I'll see what I can do.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,"You know, between his howling and your blasting everything in sight, it's a wonder the whole station doesn't know we're here."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,Bring them on! I prefer a straight fight to all this sneaking around.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,THREEPIO,"We found the computer outlet, sir."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,BEN,Plug in. He should be able to interpret the entire Imperial computer network.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,THREEPIO,He says he's found the main computer to power the tractor beam that's holding the ship here. He'll try to make the precise location appear on the monitor.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,THREEPIO,The tractor beam is coupled to the main reactor in seven locations. A power loss at one of the terminals will allow the ship to leave.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,BEN,I don't think you boys can help. I must go alone.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,Whatever you say. I've done more that I bargained for on this trip already.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,I want to go with you.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,BEN,"Be patient, Luke. Stay and watch over the droids."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,But he can...
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,BEN,They must be delivered safely or other star systems will suffer the same fate as Alderaan. Your destiny lies along a different path than mine. The Force will be with you... always!
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,"Boy you said it, Chewie."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,Where did you dig up that old fossil?
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,Ben is a great man.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,"Yeah, great at getting us into trouble."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,I didn't hear you give any ideas...
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,"Well, anything would be better than just hanging around waiting for him to pick us up..."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,Who do you think...
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,What is it?
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,THREEPIO,"I'm afraid I'm not quite sure, sir. He says ""I found her"", and keeps repeating, ""She's here."""
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,"Well, who... who has he found?"
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,THREEPIO,Princess Leia.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,The princess? She's here?
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,Princess? What's going on?
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,THREEPIO,Level five. Detention block A A-twenty-three. I'm afraid she's scheduled to be terminated.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,"Oh, no! We've got to do something."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,What are you talking about?
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,The droid belongs to her. She's the one in the message... We've got to help her.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,"Now, look, don't get any funny ideas. The old man wants us to wait right here."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,"But he didn't know she was here. Look, will you just find a way back into the detention block?"
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,I'm not going anywhere.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,"They're going to execute her. Look, a few minutes ago you said you didn't want to just wait here to be captured. Now all you want to do is stay."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,Marching into the detention area is not what I had in mind.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,But they're going to kill her!
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,Better her than me...
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,She's rich.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,Rich?
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,"Yes. Rich, powerful! Listen, if you were to rescue her, the reward would be..."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,What?
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,Well more wealth that you can imagine.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,"I don't know, I can imagine quite a bit!"
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,You'll get it!
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,I better!
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,You will...
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,"All right, kid. But you'd better be right about this."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,All right.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,What's your plan?
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,"Uh... Threepio, hand me those binders there will you?"
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,"Okay. Now, I'm going to put these on you."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,"Okay. Han, you put these on."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,"Don't worry, Chewie. I think I know what he has in mind."
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,THREEPIO,"Master Luke, sir! Pardon me for asking... but, ah... what should Artoo and I do if we're discovered here?"
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,LUKE,Lock the door!
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,HAN,And hope they don't have blasters.
INT. DEATH STAR - FORWARD BAY - COMMAND OFFICE,THREEPIO,That isn't very reassuring.
INT. DEATH STAR - DETENTION AREA - ELEVATOR TUBE,LUKE,I can't see a thing in this helmet.
INT. DEATH STAR - INTERIOR ELEVATOR - DETENTION SECURITY ,AREA,
INT. DEATH STAR - INTERIOR ELEVATOR - DETENTION SECURITY ,HAN,This is not going to work.
INT. DEATH STAR - INTERIOR ELEVATOR - DETENTION SECURITY ,LUKE,Why didn't you say so before?
INT. DEATH STAR - INTERIOR ELEVATOR - DETENTION SECURITY ,HAN,I did say so before!
INT. DETENTION AREA,OFFICER,Where are you taking this... thing?
INT. DETENTION AREA,LUKE,Prisoner transfer from Block one-one-three-eight.
INT. DETENTION AREA,OFFICER,I wasn't notified. I'll have to clear it.
INT. DETENTION AREA,HAN,Look out! He's loose!
INT. DETENTION AREA,LUKE,He's going to pull us all apart.
INT. DETENTION AREA,HAN,Go get him!
INT. DETENTION AREA,HAN,We've got to find out which cell this princess of yours is in. Here it is... cell twenty-one-eight-seven. You go get her. I'll hold them here.
INT. DETENTION AREA,HAN,(sounding official)Everything is under control. Situation normal.
INT. DETENTION AREA,INTERCOM VOICE,What happened?
INT. DETENTION AREA,HAN,"(getting nervous)Uh... had a slight weapons malfunction. But, uh, everything's perfectly all right now. We're fine. We're all fine here, now, thank you. How are you?"
INT. DETENTION AREA,INTERCOM VOICE,We're sending a squad up.
INT. DETENTION AREA,HAN,"Uh, uh, negative. We had a reactor leak here now. Give us a few minutes to lock it down. Large leak... very dangerous."
INT. DETENTION AREA,INTERCOM VOICE,Who is this? What's your operating number?
INT. DETENTION AREA,HAN,Boring conversation anyway.(yelling down the hall)Luke! We're going to have company!
INT. DEATH STAR - CELL ROW,LEIA,(finally)Aren't you a little short to be a stormtrooper?
INT. DEATH STAR - CELL ROW,LUKE,What? Oh... the uniform. I'm Luke Skywalker. I'm here to rescue you.
INT. DEATH STAR - CELL ROW,LEIA,You're who?
INT. DEATH STAR - CELL ROW,LUKE,I'm here to rescue you. I've got your R2 unit. I'm here with Ben Kenobi.
INT. DEATH STAR - CELL ROW,LEIA,Ben Kenobi is here! Where is he?
INT. DEATH STAR - CELL ROW,LUKE,Come on!
INT. DEATH STAR - CONFERENCE ROOM,VADER,He is here...
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,Obi-Wan Kenobi! What makes you think so?
INT. DEATH STAR - CONFERENCE ROOM,VADER,A tremor in the Force. The last time I felt it was in the presence of my old master.
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,Surely he must be dead by now.
INT. DEATH STAR - CONFERENCE ROOM,VADER,Don't underestimate the power of the Force.
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,"The Jedi are extinct, their fire has gone out of the universe. You, my friend, are all that's left of their religion."
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,Yes.
INT. DEATH STAR - CONFERENCE ROOM,INTERCOM VOICE,"Governor Tarkin, we have an emergency alert in detention block A A-twenty-three."
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,The princess! Put all sections on alert!
INT. DEATH STAR - CONFERENCE ROOM,VADER,Obi-Wan is here. The Force is with him.
INT. DEATH STAR - CONFERENCE ROOM,TARKIN,"If you're right, he must not be allowed to escape."
INT. DEATH STAR - CONFERENCE ROOM,VADER,Escape is not his plan. I must face him alone.
INT. DEATH STAR - DETENTION AREA - HALLWAY,HAN,Chewie!
INT. DEATH STAR - DETENTION AREA - HALLWAY,HAN,Get behind me! Get behind me!
INT. DEATH STAR - DETENTION AREA - HALLWAY,HAN,Can't get out that way.
INT. DEATH STAR - DETENTION AREA - HALLWAY,LEIA,Looks like you managed to cut off our only escape route.
INT. DEATH STAR - DETENTION AREA - HALLWAY,HAN,"(sarcastically)Maybe you'd like it back in your cell, Your Highness."
INT. DEATH STAR - DETENTION AREA - HALLWAY,LUKE,See-Threepio! See-Threepio!
INT. DEATH STAR - DETENTION AREA - HALLWAY,THREEPIO,(over comlink)Yes sir?
INT. DEATH STAR - DETENTION AREA - HALLWAY,LUKE,We've been cut off! Are there any other ways out of the cell bay?... What was that? I didn't copy!
INT. DEATH STAR - MAIN BAY GANTRY - CONTROL TOWER,THREEPIO,"I said, all systems have been alerted to your presence, sir. The main entrance seems to be the only way in or out; all other information on your level is restricted."
INT. DEATH STAR - MAIN BAY GANTRY - CONTROL TOWER,TROOPER VOICE,Open up in there!
INT. DEATH STAR - MAIN BAY GANTRY - CONTROL TOWER,THREEPIO,"Oh, no!"
INT. DEATH STAR - DETENTION CORRIDOR,LUKE,There isn't any other way out.
INT. DEATH STAR - DETENTION CORRIDOR,HAN,I can't hold them off forever! Now what?
INT. DEATH STAR - DETENTION CORRIDOR,LEIA,"This is some rescue. When you came in here, didn't you have a plan for getting out?"
INT. DEATH STAR - DETENTION CORRIDOR,HAN,"(pointing to Luke)He's the brains, sweetheart."
INT. DEATH STAR - DETENTION CORRIDOR,LUKE,"Well, I didn't..."
INT. DEATH STAR - DETENTION CORRIDOR,HAN,What the hell are you doing?
INT. DEATH STAR - DETENTION CORRIDOR,LEIA,"Somebody has to save our skins. Into the garbage chute, wise guy."
INT. DEATH STAR - DETENTION CORRIDOR,HAN,Get in there you big furry oaf! I don't care what you smell! Get in there and don't worry about it.
INT. DEATH STAR - DETENTION CORRIDOR,HAN,Wonderful girl! Either I'm going to kill her or I'm beginning to like her. Get in there!
INT. DEATH STAR - GARBAGE ROOM,HAN,(sarcastically)Oh! The garbage chute was a really wonderful idea. What an incredible smell you've discovered! Let's get out of here! Get away from there...
INT. DEATH STAR - GARBAGE ROOM,LUKE,No! wait!
INT. DEATH STAR - GARBAGE ROOM,LUKE,Will you forget it? I already tried it. It's magnetically sealed!
INT. DEATH STAR - GARBAGE ROOM,LEIA,Put that thing away! You're going to get us all killed.
INT. DEATH STAR - GARBAGE ROOM,HAN,"Absolutely, Your Worship. Look, I had everything under control until you led us down here. You know, it's not going to take them long to figure out what happened to us."
INT. DEATH STAR - GARBAGE ROOM,LEIA,It could be worse...
INT. DEATH STAR - GARBAGE ROOM,HAN,It's worse.
INT. DEATH STAR - GARBAGE ROOM,LUKE,There's something alive in here!
INT. DEATH STAR - GARBAGE ROOM,HAN,That's your imagination.
INT. DEATH STAR - GARBAGE ROOM,LUKE,Something just moves past my leg! Look! Did you see that?
INT. DEATH STAR - GARBAGE ROOM,HAN,What?
INT. DEATH STAR - GARBAGE ROOM,LUKE,Help!
INT. DEATH STAR - GARBAGE ROOM,HAN,Luke! Luke! Luke!
INT. DEATH STAR - GARBAGE ROOM,LEIA,Luke!
INT. DEATH STAR - GARBAGE ROOM,LEIA,"Luke, Luke, grab a hold of this."
INT. DEATH STAR - GARBAGE ROOM,LUKE,"Blast it, will you! My gun's jammed."
INT. DEATH STAR - GARBAGE ROOM,HAN,Where?
INT. DEATH STAR - GARBAGE ROOM,LUKE,Anywhere! Oh!!
INT. DEATH STAR - GARBAGE ROOM,HAN,Luke! Luke!
INT. DEATH STAR - GARBAGE ROOM,LEIA,Grab him!
INT. DEATH STAR - GARBAGE ROOM,LEIA,What happened?
INT. DEATH STAR - GARBAGE ROOM,LUKE,"I don't know, it just let go of me and disappeared..."
INT. DEATH STAR - GARBAGE ROOM,HAN,I've got a very bad feeling about this.
INT. DEATH STAR - GARBAGE ROOM,LUKE,The walls are moving!
INT. DEATH STAR - GARBAGE ROOM,LEIA,Don't just stand there. Try to brace it with something.
INT. DEATH STAR - GARBAGE ROOM,LUKE,Wait a minute!
INT. DEATH STAR - GARBAGE ROOM,LUKE,Threepio! Come in Threepio! Threepio! Where could he be?
INT. DEATH STAR - MAIN GANTRY - COMMAND OFFICE,FIRST TROOPER,Take over!(pointing to the dead officer)See to him! Look there!
INT. DEATH STAR - MAIN GANTRY - COMMAND OFFICE,THREEPIO,"They're madmen! They're heading for the prison level. If you hurry, you might catch them."
INT. DEATH STAR - MAIN GANTRY - COMMAND OFFICE,FIRST OFFICER,(to his troops)Follow me! You stand guard.
INT. DEATH STAR - MAIN GANTRY - COMMAND OFFICE,THREEPIO,(to Artoo)Come on!
INT. DEATH STAR - MAIN GANTRY - COMMAND OFFICE,THREEPIO,"Oh! All this excitement has overrun the circuits of my counterpart here. If you don't mind, I'd like to take him down to maintenance."
INT. DEATH STAR - MAIN GANTRY - COMMAND OFFICE,TROOPER,All right.
INT. DEATH STAR - GARBAGE ROOM,LUKE,"Threepio! Come in, Threepio! Threepio!"
INT. DEATH STAR - GARBAGE ROOM,HAN,Get to the top!
INT. DEATH STAR - GARBAGE ROOM,LEIA,I can't
INT. DEATH STAR - GARBAGE ROOM,LUKE,"Where could he be? Threepio! Threepio, will you come in?"
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,THREEPIO,They aren't here! Something must have happened to them. See if they've been captured.
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,THREEPIO,Hurry!
INT. DEATH STAR - GARBAGE ROOM,HAN,One thing's for sure. We're all going to be a lot thinner!(to Leia)Get on top of it!
INT. DEATH STAR - GARBAGE ROOM,LEIA,I'm trying!
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,THREEPIO,"(to Artoo)Thank goodness, they haven't found them! Where could they be?"
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,THREEPIO,"Use the comlink? Oh, my! I forgot I turned it off!"
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,THREEPIO,"Are you there, sir?"
INT. DEATH STAR - GARBAGE ROOM,LUKE,Threepio!
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,THREEPIO,We've had some problems...
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,LUKE,"(over comlink)Will you shut up and listen to me? Shut down all garbage mashers on the detention level, will you? Do you copy?"
INT. DEATH STAR - GARBAGE ROOM,LUKE,Shut down all the garbage mashers on the detention level.
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,LUKE,(over comlink)Shut down all the garbage mashers on the detention level.
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,THREEPIO,(to Artoo)No. Shut them all down! Hurry!
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,THREEPIO,"Listen to them! They're dying, Artoo! Curse my metal body! I wasn't fast enough. It's all my fault! My poor master!"
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,LUKE,"(over comlink)Threepio, we're all right!"
INT. DEATH STAR - GARBAGE ROOM,LUKE,We're all right. You did great.
INT. DEATH STAR - GARBAGE ROOM,LUKE,"Hey... hey, open the pressure maintenance hatch on unit number... where are we?"
INT. DEATH STAR - MAIN FORWARD BAY - SERVICE PANEL,HAN,(over comlink)Three-two-six-eight-two-seven.
INT. DEATH STAR - UNUSED HALLWAY,HAN,"If we can just avoid any more female advice, we ought to be able to get out of here."
INT. DEATH STAR - UNUSED HALLWAY,LUKE,"Well, let's get moving!"
INT. DEATH STAR - UNUSED HALLWAY,HAN,(to Chewie)Where are you going?
INT. DEATH STAR - UNUSED HALLWAY,LEIA,"No, wait. They'll hear!"
INT. DEATH STAR - UNUSED HALLWAY,HAN,"(to Chewie)Come here, you big coward!"
INT. DEATH STAR - UNUSED HALLWAY,HAN,Chewie! Come here!
INT. DEATH STAR - UNUSED HALLWAY,LEIA,"Listen. I don't know who you are, or where you came from, but from now on, you do as I tell you. Okay?"
INT. DEATH STAR - UNUSED HALLWAY,HAN,"Look, Your Worshipfulness, let's get one thing straight! I take orders from one person! Me!"
INT. DEATH STAR - UNUSED HALLWAY,LEIA,It's a wonder you're still alive.(looking at Chewie)Will somebody get this big walking carpet out of my way?
INT. DEATH STAR - UNUSED HALLWAY,HAN,No reward is worth this.
INT. DEATH STAR - POWER TRENCH,OFFICER,Secure this area until the alert is canceled.
INT. DEATH STAR - POWER TRENCH,FIRST TROOPER,Give me regular reports.
INT. DEATH STAR - POWER TRENCH,FIRST TROOPER,Do you know what's going on?
INT. DEATH STAR - POWER TRENCH,SECOND TROOPER,Maybe it's another drill.
INT. DEATH STAR - POWER TRENCH,SECOND TROOPER,What was that?
INT. DEATH STAR - POWER TRENCH,FIRST TROOPER,"Oh, it's nothing. Don't worry about it."
INT. DEATH STAR - HALLWAY,HAN,(looking at his ship)There she is.
INT. DEATH STAR - HALLWAY,LUKE,"See-Threepio, do you copy?"
INT. DEATH STAR - HALLWAY,THREEPIO,"(voice)For the moment. Uh, we're in the main hangar across from the ship."
INT. DEATH STAR - HALLWAY,LUKE,We're right above you. Stand by.
INT. DEATH STAR - HALLWAY,LEIA,You came in that thing? You're braver that I thought.
INT. DEATH STAR - HALLWAY,HAN,Nice! Come on!
INT. DEATH STAR - HALLWAY,FIRST TROOPER,It's them! Blast them!
INT. DEATH STAR - HALLWAY,HAN,(to Luke and Leia)Get back to the ship!
INT. DEATH STAR - HALLWAY,LUKE,Where are you going? Come back!
INT. DEATH STAR - HALLWAY,LEIA,He certainly has courage.
INT. DEATH STAR - HALLWAY,LUKE,What good will it do us if he gets himself killed? Come on!
INT. DEATH STAR - CENTRAL CORE SHAFT,LUKE,(gasping)I think we took a wrong turn.
INT. DEATH STAR - CENTRAL CORE SHAFT,LEIA,There's no lock!
INT. DEATH STAR - CENTRAL CORE SHAFT,LUKE,That oughta hold it for a while.
INT. DEATH STAR - CENTRAL CORE SHAFT,LEIA,"Quick, we've got to get across. Find the control that extends the bridge."
INT. DEATH STAR - CENTRAL CORE SHAFT,LUKE,"Oh, I think I just blasted it."
INT. DEATH STAR - CENTRAL CORE SHAFT,LEIA,They're coming through!
INT. DEATH STAR - CENTRAL CORE SHAFT,LUKE,"Here, hold this."
INT. DEATH STAR - CENTRAL CORE SHAFT,LEIA,Here they come!
INT. DEATH STAR - CENTRAL CORE SHAFT,LEIA,For luck!
INT. DEATH STAR - MAIN FORWARD BAY,THREEPIO,Where could they be?
INT. DEATH STAR - CORRIDOR - BLAST SHIELDS DOOR,TROOPER,Close the blast doors!
INT. DEATH STAR - CORRIDOR - BLAST SHIELDS DOOR,TROOPER,Open the blast doors! Open the blast doors!
INT. DEATH STAR - HALLWAY LEADING TO MAIN FORWARD BAY,VADER,"I've been waiting for you, Obi-Wan. We meet again, at last. The circle is now complete."
INT. DEATH STAR - HALLWAY LEADING TO MAIN FORWARD BAY,VADER,"When I left you, I was but the learner; now I am the master."
INT. DEATH STAR - HALLWAY LEADING TO MAIN FORWARD BAY,BEN,"Only a master of evil, Darth."
INT. DEATH STAR - HALLWAY LEADING TO MAIN FORWARD BAY,VADER,"Your powers are weak, old man."
INT. DEATH STAR - HALLWAY LEADING TO MAIN FORWARD BAY,BEN,"You can't win, Darth. If you strike me down, I shall become more powerful than you can possibly imagine."
INT. DEATH STAR - MAIN FORWARD BAY,HAN,Didn't we just leave this party?
INT. DEATH STAR - MAIN FORWARD BAY,HAN,What kept you?
INT. DEATH STAR - MAIN FORWARD BAY,LEIA,We ran into some old friends.
INT. DEATH STAR - MAIN FORWARD BAY,LUKE,Is the ship all right?
INT. DEATH STAR - MAIN FORWARD BAY,HAN,"Seems okay, if we can get to it. Just hope the old man got the tractor beam out of commission."
INT. DEATH STAR - HALLWAY,LUKE,Look!
INT. DEATH STAR - DOCKING BAY,THREEPIO,"Come on, Artoo, we're going!"
